timestamp,tile_clicked,damage_received,created_word,damage_dealt,current_level,program_closed
20260422_005504,,,jif,27,25,
20260422_005506,,8,,,25,
20260422_005518,True,,,,25,
20260422_005518,True,,,,25,
20260422_005518,True,,,,25,
20260422_005520,True,,,,25,
20260422_005524,True,,,,25,
20260422_005524,True,,,,25,
20260422_005525,True,,,,25,
20260422_005525,True,,,,25,
20260422_005526,True,,,,25,
20260422_005528,True,,,,25,
20260422_005529,True,,,,25,
20260422_005530,True,,,,25,
20260422_005530,True,,,,25,
20260422_005531,True,,,,25,
20260422_005538,True,,,,25,
20260422_005539,True,,,,25,
20260422_005539,True,,,,25,
20260422_005540,True,,,,25,
20260422_005542,True,,,,25,
20260422_005545,True,,,,25,
20260422_005547,True,,,,25,
20260422_005548,True,,,,25,
20260422_005549,True,,,,25,
20260422_005550,True,,,,25,
20260422_005552,,,huluvudu,72,25,
20260422_005554,True,,,,26,
20260422_005554,True,,,,26,
20260422_005555,True,,,,26,
20260422_005557,True,,,,26,
20260422_005557,True,,,,26,
20260422_005558,True,,,,26,
20260422_005558,True,,,,26,
20260422_005559,True,,,,26,
20260422_005601,,,ver,0,26,
20260422_005604,True,,,,26,
20260422_005604,True,,,,26,
20260422_005605,True,,,,26,
20260422_005605,True,,,,26,
20260422_005606,True,,,,26,
20260422_005607,,,flame,0,26,
20260422_005610,True,,,,26,
20260422_005610,True,,,,26,
20260422_005611,True,,,,26,
20260422_005612,,,sac,24,26,
20260422_005613,True,,,,26,
20260422_005613,True,,,,26,
20260422_005613,True,,,,26,
20260422_005617,,,hit,24,26,
20260422_005619,True,,,,26,
20260422_005620,True,,,,26,
20260422_005621,,9,,,26,
20260422_005626,True,,,,26,
20260422_005626,True,,,,26,
20260422_005626,True,,,,26,
20260422_005627,True,,,,26,
20260422_005628,,,song,88,26,
20260422_005631,,9,,,26,
20260422_005634,True,,,,26,
20260422_005635,True,,,,26,
20260422_005636,,,be,17,26,
20260422_005641,True,,,,27,
20260422_005642,True,,,,27,
20260422_005642,True,,,,27,
20260422_005642,True,,,,27,
20260422_005645,True,,,,27,
20260422_005645,True,,,,27,
20260422_005647,,,meat,62,27,
20260422_005649,,11,,,27,
20260422_005655,True,,,,27,
20260422_005656,True,,,,27,
20260422_005656,True,,,,27,
20260422_005656,True,,,,27,
20260422_005658,,,goal,62,27,
20260422_005700,True,,,,27,
20260422_005700,True,,,,27,
20260422_005700,True,,,,27,
20260422_005700,,11,,,27,
20260422_005703,True,,,,27,
20260422_005705,True,,,,27,
20260422_005711,,,tup,24,27,
20260422_005714,,11,,,27,
20260422_005716,True,,,,27,
20260422_005716,True,,,,27,
20260422_005717,True,,,,27,
20260422_005718,,,gin,12,27,
20260422_005726,True,,,,28,
20260422_005727,True,,,,28,
20260422_005727,True,,,,28,
20260422_005727,True,,,,28,
20260422_005728,True,,,,28,
20260422_005729,,,dikey,84,28,
20260422_005731,True,,,,28,
20260422_005731,True,,,,28,
20260422_005732,True,,,,28,
20260422_005733,True,,,,28,
20260422_005734,True,,,,28,
20260422_005734,True,,,,28,
20260422_005734,True,,,,28,
20260422_005736,,,lond,31,28,
20260422_005740,,11,,,28,
20260422_005741,True,,,,28,
20260422_005742,True,,,,28,
20260422_005742,True,,,,28,
20260422_005746,,,mak,24,28,
20260422_005749,,6,,,28,
20260422_005751,True,,,,28,
